id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
854209865368555019,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 2 beds · 1 bath,491918409,Taskin,,Linkeroever,51.22163,4.37993,Entire home/apt,55,5,3,2023-06-05,0.59,14,0,3,
854799806622036356,Condo in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,154707184,Eugene,,Stadspark,51.2093621,4.4222367,Entire home/apt,85,30,7,2023-05-14,1.20,1,0,7,
855636738913238680,Home in Antwerpen · ★5.0 · 3 bedrooms · 8 beds · 1 bath,56894014,Mike YF,,Deurne Zuid Oost,51.20078,4.46954,Entire home/apt,99,1,5,2023-09-10,2.38,1,346,5,
855730678119034288,Rental unit in Antwerpen · ★4.86 · 1 bedroom · 1 bed · 1 bath,487662519,Sima,,Centraal Station,51.21261561925547,4.420411214232445,Entire home/apt,67,1,14,2023-08-09,2.36,8,315,14,
855798862019716706,Rental unit in Antwerpen · ★4.71 · 1 bedroom · 3 beds · 1.5 baths,507173045,Tea,,Sint-Andries,51.21358,4.3998,Entire home/apt,86,1,21,2023-09-14,4.04,3,348,21,
856388471736526739,Rental unit in Antwerpen · ★4.43 · 2 bedrooms · 2 beds · 1.5 baths,397964818,Marnix,,Theaterbuurt-Meir,51.21936183982478,4.415539316833019,Entire home/apt,129,2,7,2023-09-08,1.43,3,143,7,
856398807644422650,Rental unit in Antwerpen · ★4.0 · 3 bedrooms · 8 beds · 1 bath,165436938,Luca,,Sint-Andries,51.217478,4.3998542,Entire home/apt,56,1,7,2023-08-26,1.50,90,332,7,
856470967981064743,Condo in 2018 Antwerpen · ★4.14 · 1 bedroom · 1 bed · 1.5 baths,464531135,Julia,,Zurenborg,51.20876,4.42936,Entire home/apt,79,5,7,2023-08-06,1.26,1,20,7,
856616603365502177,Rental unit in Antwerpen · 3 bedrooms · 4 beds · 1 bath,496406662,Ekaterina,,Kiel,51.1844206,4.3866207,Entire home/apt,150,6,1,2023-08-13,0.71,15,364,1,
856890694894488067,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,34861673,Vincent,,Zuid,51.2113052,4.3943663,Entire home/apt,86,2,9,2023-05-11,1.59,2,29,9,
857323303849696876,Condo in Antwerpen · ★5.0 · 2 bedrooms · 1 bed · 1.5 baths,507519176,Anne,,Markgrave,51.1953153,4.4034999,Entire home/apt,100,2,6,2023-07-23,1.29,1,57,6,
858600781707456104,Home in Antwerpen · ★3.67 · 6 bedrooms · 6 beds · 4 baths,483654819,Huswell,,Markgrave,51.19346,4.4032,Entire home/apt,727,2,3,2023-08-28,0.71,20,61,3,
858644488311596506,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,503185101,Domitys,,Nieuw - Zuid,51.20717,4.38334,Entire home/apt,79,7,2,2023-09-09,0.48,7,335,2,
858748912851400019,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,487662519,Sima,,Centraal Station,51.21161,4.4192,Entire home/apt,80,1,5,2023-06-11,0.87,8,350,5,
859171095418028436,Rental unit in Antwerpen · ★4.33 · 1 bedroom · 2 beds · 1 bath,491918409,Taskin,,Linkeroever,51.22053,4.38125,Entire home/apt,55,6,3,2023-09-08,0.52,14,0,3,
